"","X.1","X","Name","Vial","Patch","Mpatch","Flag","Year","Date","Check","Species","Capt","Tag_start","Mark","Sex","Weight","Colour","White.spot","WS.position","Testes","Vagina","Pubic.bone","Pregnant","Nipples","Lactating","Mites","Ticks","Fleas","Fur.loss","Biopsy","Blood","Isolate","Severity","Bleeder","Comments","Urinate","Deficate","Resists","Pushing","Bites","Squeaks","Handling","Docility","Corrected.Mark"
"184",184,184,"vc","","led2425",NA,"b28",2020,"2020-08-07",2,"wv","r","6470025",NA,"",NA,"",NA,"","","","","",NA,"",NA,NA,0,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,0,"6470025"
"185",185,185,"vc","","led2425",NA,"cl88",2020,"2020-08-07",2,"wv","r","8673949",NA,"",NA,"",NA,"","","","","",NA,"",NA,NA,0,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,0,"5673949"
"186",186,186,"vc","vc26","led2425",NA,"b66",2020,"2020-08-07",2,"wv","n","5672821",NA,"m",25,"bl",2,"other","ns",NA,NA,NA,NA,NA,0,0,0,0,1,NA,NA,"","","white spot- head, tail",0,0,1,1,2,2,1,7,"5672821"
"187",187,187,"vc","vc27","led2425",NA,"p15",2020,"2020-08-07",2,"wv","n","10525795",NA,"f",175,"bl/br",1,"head",NA,"p","closed","Y",0,"N",NA,0,0,0,1,0,0,"","","",0,1,1,1,1,1,1,6,"10525795"
"188",188,188,"vc","vc28","led2425",NA,"ab01",2020,"2020-08-07",2,"wv","n","5598779",NA,"m",135,"bl",0,"","s",NA,NA,NA,NA,NA,0,0,1,0,1,1,1,"m","lm","",1,1,1,1,0,0,2,6,"5598779"
"189",189,189,"vc","elb21","cro1015",NA,"blue",2020,"2020-08-08",3,"wv","n","5666864",NA,"m",100,"bl",1,"back","ms",NA,NA,NA,NA,NA,2,2,0,0,1,1,1,"m","lm","",1,1,1,1,0,1,0,5,"5666864"
"190",190,190,"vc","","cro1015",NA,"p20",2020,"2020-08-08",3,"fv","r",NA,"ls","",NA,"",NA,"","","","","",NA,"",NA,NA,0,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,0,NA
"191",191,191,"vc","vc29","cro1015",NA,"p15",2020,"2020-08-08",3,"fv","n",NA,"","m",40,"",NA,"","s",NA,NA,NA,NA,NA,0,2,1,0,NA,1,0,"m","lm","stubby feet",NA,NA,NA,NA,NA,NA,NA,0,NA
"192",192,192,"vc","","cro1015",NA,"p52",2020,"2020-08-08",3,"wv","r","10864801",NA,"",NA,"",NA,"","","","","",NA,"",NA,NA,0,NA,NA,1,0,"m","lm","",NA,NA,NA,NA,NA,NA,NA,0,"10864801"
"193",193,193,"vc","","cro1015",NA,"b13",2020,"2020-08-08",3,"fv","r",NA,"lh","",NA,"",NA,"","","","","",NA,"",NA,NA,0,NA,NA,1,1,"m","lm","",NA,NA,NA,NA,NA,NA,NA,0,NA
"194",194,194,"vc","vc30","cro1015",NA,"x25",2020,"2020-08-08",3,"wv","n","5594488",NA,"f",145,"bl",1,"head",NA,"p","open","Y",1,"N",0,2,0,0,1,1,1,"m","lm","",0,1,1,0,2,0,2,6,"5594488"
"195",195,195,"vc","","cro1015",NA,"a15",2020,"2020-08-08",3,"wv","r","5674075",NA,"",NA,"",NA,"","","","","",NA,"",NA,1,0,NA,NA,1,1,"m","lm","",NA,NA,NA,NA,NA,NA,NA,0,"5674075"
"196",196,196,"vc","","cro1015",NA,"cl64",2020,"2020-08-08",3,"fv","r",NA,"ls,rs","",NA,"",NA,"","","","","",NA,"",NA,NA,2,NA,NA,0,0,"","","",NA,NA,NA,NA,NA,NA,NA,0,NA
"197",197,197,"vc","","cro1015",NA,"f04",2020,"2020-08-08",3,"wv",NA,"","","",NA,"",NA,"","","","","",NA,"",NA,NA,NA,NA,NA,0,0,"","","escaped ",NA,NA,NA,NA,NA,NA,NA,0,""
"198",198,198,"vc","","cro1015",NA,"ab03",2020,"2020-08-08",3,"fv","r",NA,"rs","",NA,"",NA,"","","","","",NA,"",NA,NA,NA,NA,NA,0,0,"","","",NA,NA,NA,NA,NA,NA,NA,0,NA
"199",199,199,"vc","","cro1015",NA,"cl58",2020,"2020-08-08",3,"fv","n",NA,"","f",NA,"",NA,"",NA,"p","closed","Y",4,"Y",NA,NA,NA,NA,NA,NA,NA,"","","sadly died",NA,NA,NA,NA,NA,NA,NA,0,NA
"200",200,200,"vc","","cro1015",NA,"blank",2020,"2020-08-08",3,"fv","r",NA,"rh","",NA,"",NA,"","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,0,NA
"201",201,201,"vc","vc31","sgi30",NA,"x5",2020,"2020-08-17",1,"wv","n","5668931",NA,"m",90,"bl",1,"head","ns",NA,NA,NA,NA,NA,4,0,2,0,1,0,0,NA,NA,"",0,1,1,1,2,0,2,7,"5668931"
"202",202,202,"vc","vc32","sgi30",NA,"a54",2020,"2020-08-17",1,"wv","n","6487359",NA,"m",75,"bl/br",1,"head","ns",NA,NA,NA,NA,NA,1,0,0,0,1,0,0,NA,NA,"Double PIT tagged. Second tag was 5673892",1,0,1,0,1,2,1,6,"5673892"
"203",203,203,"vc","vc33","sgi31",NA,"p77",2020,"2020-08-17",1,"wv","n","5673524",NA,"m",130,"bl",1,"head","s",NA,NA,NA,NA,NA,2,0,2,0,1,0,0,NA,NA,"Vicious! ",1,0,1,1,2,1,2,8,"5673524"
"204",204,204,"vc","vc34","sgi3637",NA,"x25",2020,"2020-08-19",3,"wv","n","6490811",NA,"m",70,"bl",0,"","ns",NA,NA,NA,NA,NA,0,0,0,0,1,0,0,NA,NA,"",1,0,0,0,0,1,0,2,"6490811"
"205",205,205,"vc","","sgi3637",NA,"da6",2020,"2020-08-19",3,"wv","r","5668043",NA,"",NA,"",NA,"","","","","",NA,"",NA,NA,0,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,0,"5668043"
"206",206,206,"elb","lm221","led01",NA,"x2",2020,"2020-07-27",1,"wv","n","5663705",NA,"f",110,"bl",1,"other",NA,"p","closed","N",1,"N",NA,2,0,0,1,1,1,"m","lm","white spot location- head and tail",0,0,1,1,1,1,1,5,"5663705"
"207",207,207,"elb","elb01","led01",NA,"cl18",2020,"2020-07-27",1,"wv","n","6473304",NA,"f",105,"bl",1,"head",NA,"p","closed","N",1,"N",0,1,0,0,1,1,1,"m","lm","",1,1,1,0,2,2,1,8,"6473304"
"208",208,208,"elb","elb02","led01",NA,"cl42",2020,"2020-07-27",1,"wv","n","5667730",NA,"f",160,"bl",1,"head",NA,"p","open","N",2,"Y",NA,1,0,0,1,1,1,"m","lm","",0,1,1,0,2,0,1,5,"5667730"
"209",209,209,"elb","elb03","led01",NA,"cl77",2020,"2020-07-27",1,"wv","n","5664242",NA,"m",125,"bl",1,"head","s",NA,NA,NA,NA,NA,0,0,1,0,1,1,1,"m","lm","",0,0,1,1,0,2,1,5,"5664242"
"210",210,210,"elb","elb04","led01",NA,"cl22",2020,"2020-07-27",1,"wv","n","5598297",NA,"",NA,"",NA,"","","","","",NA,"",NA,NA,1,NA,NA,NA,NA,"","","escaped",NA,NA,NA,NA,NA,NA,NA,0,"5598297"
"211",211,211,"elb","","led01",NA,"cl18",2020,"2020-07-28",2,"wv","r","5662705",NA,"",NA,"",NA,"","","","","",NA,"",NA,NA,1,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,0,"5663705"
"212",212,212,"elb","","led01",NA,"cl42",2020,"2020-07-28",2,"wv","r","5667730",NA,"",NA,"",NA,"","","","","",NA,"",NA,NA,0,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,0,"5667730"
"213",213,213,"elb","elb05","led01",NA,"l14",2020,"2020-07-28",2,"wv","n","6491100",NA,"f",230,"bl/br",0,NA,NA,"p","open","Y",3,"N",NA,3,0,0,1,NA,NA,"","","",0,1,1,1,1,1,1,6,"6491100"
"214",214,214,"elb","","led01",NA,"blank",2020,"2020-07-28",2,"wv","r","10847528",NA,"",NA,"",NA,"","","","","",NA,"",NA,NA,0,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,0,"10847528"
"215",215,215,"elb","elb06","led01",NA,"x33",2020,"2020-07-28",2,"wv","n","6496544",NA,"f",160,"bl",1,"head",NA,"np","open","N",2,"N",NA,1,0,0,1,NA,NA,"","","",0,0,1,0,2,2,1,6,"6496544"
"216",216,216,"elb","","led01",NA,"da9",2020,"2020-07-28",2,"wv","r","5598297",NA,"",NA,"",NA,"","","","","",NA,"",NA,NA,0,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,0,"5598297"
"217",217,217,"elb","gp207","led0708",NA,"cl58",2020,"2020-07-28",2,"fv","n",NA,"ls,rs","m",45,"br",0,NA,"s",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,"","","",0,1,0,0,1,1,1,4,NA
"218",218,218,"elb","","led01",NA,"c37",2020,"2020-07-31",3,"wv","r","5667730",NA,"",NA,"",NA,"","","","","",NA,"",NA,NA,0,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,0,"5667730"
"219",219,219,"elb","","led01",NA,"x33",2020,"2020-07-31",3,"wv","r","10847528",NA,"",NA,"",NA,"","","","","",NA,"",NA,NA,0,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,0,"10847528"
"220",220,220,"elb","","led01",NA,"x25",2020,"2020-07-31",3,"wv","r","10872452",NA,"",NA,"",NA,"","","","","",NA,"",NA,NA,0,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,0,"10872452"
"221",221,221,"elb","elb08","led01",NA,"cl54",2020,"2020-07-31",3,"wv","n","10872258",NA,"m",210,"bl",2,"head","s",NA,NA,NA,NA,NA,0,1,0,0,1,NA,0,"","","",1,1,1,1,0,2,1,7,"10872258"
"222",222,222,"elb","elb09","led01",NA,"cl81",2020,"2020-07-31",3,"wv","n","6501927",NA,"f",NA,"bl",0,"",NA,"p","open","N",2,"N",NA,NA,NA,NA,NA,NA,NA,"","","growth on side of head, kink in tail",NA,NA,NA,NA,NA,NA,NA,0,"6501927"
"223",223,223,"elb","","led0708",NA,"p26",2020,"2020-07-31",3,"wv","r","5663820",NA,"",NA,"",NA,"","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,0,"5663820"
"224",224,224,"elb","elb10","ledx",NA,"p44",2020,"2020-08-02",1,"wv","n","10877419",NA,"m",50,"bl",2,"head","ns",NA,NA,NA,NA,NA,0,0,0,0,1,1,1,"m","lm","",0,1,1,0,1,1,0,4,"10877419"
"225",225,225,"elb","elb11","ledx",NA,"cl74",2020,"2020-08-02",1,"wv","n","10864216",NA,"m",60,"bl",0,NA,"ns",NA,NA,NA,NA,NA,0,0,0,0,1,1,1,"m","lm","",0,1,1,1,0,2,1,6,"10864216"
"226",226,226,"elb","elb12","ledx",NA,"x5",2020,"2020-08-02",1,"wv","nr","6479164",NA,"f",180,"bl",0,NA,NA,"p","open","Y",3,"Y",NA,0,0,1,1,1,1,"m","lm","blood spot, fur loss on head",0,0,1,1,1,1,1,5,"6479164"
"227",227,227,"elb","elb13","ledx",NA,"a55",2020,"2020-08-02",1,"wv","n","10872882",NA,"m",60,"bl",1,"head","ns",NA,NA,NA,NA,NA,0,0,0,0,1,1,1,"m","lm","",1,1,1,0,1,2,0,6,"10872882"
"228",228,228,"elb","elb14","ledx",NA,"p68",2020,"2020-08-02",1,"wv","n","5662237",NA,"m",190,"bl",0,NA,"s",NA,NA,NA,NA,NA,0,0,0,0,1,1,1,"m","lm","",1,1,1,0,0,1,1,5,"5662237"
"229",229,229,"elb","lm233","led2728",NA,"hk2",2020,"2020-08-02",1,"wv","n","5600773",NA,"m",180,"bl/br",0,NA,"s",NA,NA,NA,NA,NA,NA,6,0,0,1,1,1,"m","lm","",1,1,1,1,0,1,1,6,"5600773"
"230",230,230,"elb","hb10","ledx",NA,"a55",2020,"2020-08-03",2,"wv","n","10871965",NA,"m",125,"bl",0,NA,"s",NA,NA,NA,NA,NA,2,0,0,0,1,NA,NA,"","","",1,1,1,1,1,1,1,7,"10871965"
"231",231,231,"elb","","ledx",NA,"p68",2020,"2020-08-03",2,"wv","r","10872218",NA,"",NA,"",NA,"","","","","",NA,"",NA,NA,0,NA,NA,NA,NA,"","","two voles in one trap",NA,NA,NA,NA,NA,NA,NA,0,"10872218"
"232",232,232,"elb","elb15","ledx",NA,"p68",2020,"2020-08-03",2,"wv","n","10866128",NA,"f",65,"bl",0,NA,NA,"np","","N",1,"N",NA,1,0,0,1,NA,NA,"","","two voles in one trap",0,1,0,1,0,1,0,3,"10866128"
"233",233,233,"elb","hb11","ledx",NA,"p44",2020,"2020-08-03",2,"wv","n","10872454",NA,"m",100,"bl",1,"head","ns",NA,NA,NA,NA,NA,4,0,1,0,1,NA,NA,"","","",0,0,1,1,0,1,0,3,"10872454"
"234",234,234,"elb","","led2223",NA,"b55",2020,"2020-08-03",2,"wv","r","10864370",NA,"",NA,"",NA,"","","","","",NA,"",NA,NA,0,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,0,"10864370"
"235",235,235,"elb","elb17","led2223",NA,"blank",2020,"2020-08-03",2,"wv","n","5681131",NA,"m",110,"bl",1,"head","s",NA,NA,NA,NA,NA,1,2,0,0,1,NA,NA,"","","",1,1,1,1,1,1,1,7,"5681131"
"236",236,236,"elb","elb18","led2728",NA,"b43",2020,"2020-08-03",2,"wv","n","5671755",NA,"f",50,"bl",0,NA,NA,"np","","N",1,"N",NA,0,0,0,1,NA,NA,"","","",0,1,0,0,0,1,0,2,"5671755"
"237",237,237,"elb","elb19","led2223",NA,"aa34",2020,"2020-08-04",3,"wv","n","5678827",NA,"m",145,"bl",1,"head","ns",NA,NA,NA,NA,NA,0,1,0,0,1,1,1,"m","lm","",1,0,1,1,2,1,1,7,"5678827"
"238",238,238,"elb","elb20","led2223",NA,"blank",2020,"2020-08-04",3,"wv","n","5680592",NA,"m",110,"bl",1,"head","ns",NA,NA,NA,NA,NA,1,1,0,0,1,1,1,"m","lm","",1,1,1,0,0,1,1,5,"5680592"
"239",239,239,"elb","elb21","cro1015",NA,"blue",2020,"2020-08-06",1,"wv","n","5666864",NA,"m",NA,"bl",1,"chin","ns",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"","","escaped ",0,1,1,1,0,0,1,4,"5666864"
"240",240,240,"elb","elb22","cro1015",NA,"p15",2020,"2020-08-06",1,"fv","n",NA,"ls","m",25,"br",NA,"","ms",NA,NA,NA,NA,NA,0,0,0,0,NA,1,1,"m","lm","",NA,NA,NA,NA,NA,NA,NA,0,NA
"241",241,241,"elb","elb23","cro1015",NA,"p52",2020,"2020-08-06",1,"wv","n","10864801",NA,"m",80,"bl",0,NA,"ns",NA,NA,NA,NA,NA,1,0,0,0,1,1,1,"m","lm","",1,1,1,0,0,1,0,4,"10864801"
"242",242,242,"elb","elb24","cro1015",NA,"a15",2020,"2020-08-06",1,"fv","n",NA,"","m",NA,"br",NA,"","ns","","","",NA,"",0,NA,0,NA,NA,NA,NA,"","","escaped",NA,NA,NA,NA,NA,NA,NA,0,NA
"243",243,243,"elb","elb25","cro1015",NA,"x16",2020,"2020-08-06",1,"wv","n","5672531",NA,"f",180,"bl",0,NA,NA,"np","closed","Y",2,"N",2,0,0,0,1,1,1,"m","lm","",0,1,1,1,1,1,1,6,"5672531"
"244",244,244,"elb","elb26","cro1015",NA,"ab03",2020,"2020-08-06",1,"fv","n",NA,"rs","f",35,"br",NA,"",NA,"np","closed","N",1,"N",1,0,0,0,NA,1,1,"m","lm","",NA,NA,NA,NA,NA,NA,NA,0,NA
"245",245,245,"elb","","cro1015",NA,"p20",2020,"2020-08-07",2,"fv","r",NA,"ls","",NA,"",NA,"","","","","",NA,"",NA,NA,0,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,0,NA
"246",246,246,"elb","elb27","cro1015",NA,"f04",2020,"2020-08-07",2,"wv","n","5674978",NA,"m",195,"bl",2,"fl","ms",NA,NA,NA,NA,NA,1,1,1,0,1,NA,NA,"","","",1,1,1,1,0,1,1,6,"5674978"
"247",247,247,"elb","","cro1015",NA,"p52",2020,"2020-08-07",2,"wv","r","10864801",NA,"",NA,"",NA,"","","","","",NA,"",NA,NA,0,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,0,"10864801"
"248",248,248,"elb","elb28","cro1015",NA,"b13",2020,"2020-08-07",2,"fv","n",NA,"lh","m",45,"br",NA,"","ns",NA,NA,NA,NA,NA,1,0,0,0,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,0,NA
"249",249,249,"elb","elb29","cro1015",NA,"p24",2020,"2020-08-07",2,"fv","n",NA,"lh,rs","m",30,"br",NA,"","ns",NA,NA,NA,NA,NA,0,2,0,0,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,0,NA
"250",250,250,"elb","","cro1015",NA,"ab03",2020,"2020-08-07",2,"fv","r",NA,"rs","",NA,"",NA,"","","","","",NA,"",NA,NA,0,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,0,NA
"251",251,251,"elb","","led2425",NA,"b23",2020,"2020-08-08",3,"wv","r","6479878",NA,"",NA,"",NA,"","","","","",NA,"",NA,NA,1,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,0,"6479878"
"252",252,252,"elb","","led2425",NA,"ab04",2020,"2020-08-08",3,"wv","r","5598346",NA,"",NA,"",NA,"","","","","",NA,"",NA,NA,0,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,0,"5598346"
"253",253,253,"elb","elb30","led2425",NA,"p77",2020,"2020-08-08",3,"wv","n","6495711",NA,"f",160,"bl",1,"head",NA,"np","closed","N",1,"N",NA,0,0,0,1,NA,NA,"","","",1,1,1,1,0,2,1,7,"6495711"
"254",254,254,"elb","","led2425",NA,"b33",2020,"2020-08-08",3,"wv","r","10864776",NA,"",NA,"",NA,"","","","","",NA,"",NA,NA,0,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,0,"10864776"
"255",255,255,"elb","elb31","led2425",NA,"b43",2020,"2020-08-08",3,"wv","n","10864254",NA,"m",60,"bl",0,NA,"ns",NA,NA,NA,NA,NA,1,0,0,0,1,NA,NA,"","","",0,1,1,1,0,2,1,6,"10864254"
"256",256,256,"elb","elb32","led2425",NA,"da18",2020,"2020-08-08",3,"wv","n","5678133",NA,"m",55,"bl",1,"head","ns",NA,NA,NA,NA,NA,0,0,0,0,1,NA,NA,"","","",1,1,1,1,1,1,1,7,"5678133"
"257",257,257,"elb","","lei18",NA,"f28",2020,"2020-08-12",2,"wv","r","5663128",NA,"",NA,"",NA,"","","","","",NA,"",NA,NA,0,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,0,"5663128"
"258",258,258,"elb","","lei18",NA,"x4",2020,"2020-08-13",3,"wv","r","5663128",NA,"",NA,"",NA,"","","","","",NA,"",NA,NA,0,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,0,"5663128"
"259",259,259,"elb","","lei1317",NA,"b18",2020,"2020-08-13",3,"fv","r",NA,"","",NA,"",NA,"","","","","",NA,"",NA,NA,0,NA,NA,NA,NA,"","","not marked but previously bled",NA,NA,NA,NA,NA,NA,NA,0,NA
"260",260,260,"elb","","lei1317",NA,"b01",2020,"2020-08-13",3,"fv","r",NA,"","",NA,"",NA,"","","","","",NA,"",NA,NA,0,NA,NA,NA,NA,"","","escaped, not marked but previously bled",NA,NA,NA,NA,NA,NA,NA,0,NA
"261",261,261,"elb","elb36","lei1317",NA,"da4",2020,"2020-08-13",3,"wv","n","6468986",NA,"m",190,"bl",2,"tail","s",NA,NA,NA,NA,NA,0,2,0,1,1,1,1,"m","lm","fur loss on back",0,0,1,1,1,1,1,5,"6468986"
"262",262,262,"elb","elb37","sgi30",NA,"cl65",2020,"2020-08-17",1,"wv","n","6493385",NA,"m",100,"bl",2,"other","ns",NA,NA,NA,NA,NA,2,1,1,0,1,NA,NA,"","","white spot location- head and tail",1,1,1,0,0,1,0,4,"5806504"
"263",263,263,"elb","elb39","sgi30",NA,"p68",2020,"2020-08-17",1,"wv","nr","6485429",NA,"f",185,"bl/br",0,"",NA,"p","closed","Y",2,"Y",0,0,0,0,1,NA,NA,"","","",1,1,0,1,0,1,0,4,"6485429"
"264",264,264,"elb","elb37","sgi30",NA,"cl65",2020,"2020-08-18",2,"wv","r","5806504",NA,"",NA,"",NA,"","","","","",NA,"",NA,NA,1,NA,NA,NA,NA,"","","recapture of elb37: pit tag had come out so new pit tag inserted",NA,NA,NA,NA,NA,NA,NA,0,"5806504"
"265",265,265,"elb","","sgi30",NA,"p68",2020,"2020-08-18",2,"wv","r","6485429",NA,"",NA,"",NA,"","","","","",NA,"",NA,NA,0,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,0,"6485429"
"266",266,266,"elb","vc32","sgi30",NA,"aa39",2020,"2020-08-18",2,"wv","r","5673892",NA,"",NA,"",NA,"","","","","",NA,"",NA,NA,0,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,0,"5673892"
"267",267,267,"elb","","sgi31",NA,"p48",2020,"2020-08-19",3,"wv","r","5673524",NA,"",NA,"",NA,"","","","","",NA,"",NA,NA,1,NA,NA,NA,NA,"","","escaped",NA,NA,NA,NA,NA,NA,NA,0,"5673524"
"268",268,268,"elb","","sgi30",NA,"aa39",2020,"2020-08-19",3,"wv","r","5674869",NA,"",NA,"",NA,"","","","","",NA,"",NA,NA,0,NA,NA,1,1,"m","lm","",NA,NA,NA,NA,NA,NA,NA,0,"5674861"
"269",269,269,"elb","vc32","sgi30",NA,"a54",2020,"2020-08-19",3,"wv","r","5673892",NA,"",NA,"",NA,"","","","","",NA,"",NA,NA,0,NA,NA,1,1,"m","lm","",NA,NA,NA,NA,NA,NA,NA,0,"5673892"
"270",270,270,"elb","","sgi30",NA,"p68",2020,"2020-08-19",3,"wv","r","6485429",NA,"",NA,"",NA,"","","","","",NA,"",NA,NA,0,NA,NA,1,1,"m","lm","",NA,NA,NA,NA,NA,NA,NA,0,"6485429"
"271",271,271,"elb","elb37","sgi30",NA,"b66",2020,"2020-08-19",3,"wv","r","5806504",NA,"",NA,"",NA,"","","","","",NA,"",NA,NA,0,NA,NA,1,1,"m","lm","",NA,NA,NA,NA,NA,NA,NA,0,"5806504"
"272",272,272,"elb","","sgi30",NA,"blank",2020,"2020-08-19",3,"wv","r","5668931",NA,"",NA,"",NA,"","","","","",NA,"",NA,NA,0,NA,NA,1,1,"m","lm","",NA,NA,NA,NA,NA,NA,NA,0,"5668931"
"273",273,273,"elb","","sgi30",NA,"b28",2020,"2020-08-19",3,"wv","r","6484273",NA,"",NA,"",NA,"","","","","",NA,"",NA,NA,0,NA,NA,1,1,"m","lm","pit tag had come out so new pit tag inserted",NA,NA,NA,NA,NA,NA,NA,0,"5674301"
"274",274,274,"elb","","",NA,"",NA,"",NA,"",NA,NA,"","",NA,"",NA,"","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,0,NA
"275",275,275,"elb","","",NA,"",NA,"",NA,"",NA,NA,"","",NA,"",NA,"","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,0,NA
"276",276,276,"elb","","",NA,"",NA,"",NA,"",NA,NA,"","",NA,"",NA,"","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,0,NA
